Date,Home,Away,HomeGoals,AwayGoals,Source
16.05.2026,HJK,Ilves,2,2,https://www.suomifutis.com/veikkausliiga/
16.05.2026,SJK,FC Inter,1,3,https://www.suomifutis.com/veikkausliiga/
18.05.2026,FC Lahti,VPS,1,1,https://www.suomifutis.com/veikkausliiga/
